,Photon Energy (eV),e1,e2,N,n,k
273,1.920369,6.641589513,1.066432112,(2.585367675745923+0.20624380074607204j),2.585367676,0.206243801
274,1.915664,6.640094949,1.061498245,(2.585004951786847+0.20531841623253297j),2.585004952,0.205318416
275,1.910983,6.6386555,1.056523911,(2.5846524667358812+0.20438413368790928j),2.584652467,0.204384134
276,1.906325,6.637267805,1.051507142,(2.5843095588054084+0.20344063236832807j),2.584309559,0.203440632
277,1.901689,6.635928507,1.046446023,(2.583975567886075+0.20248760002112337j),2.583975568,0.2024876
278,1.897076,6.634634806,1.041340914,(2.583649974951918+0.20152515319856648j),2.583649975,0.201525153
279,1.892486,6.63338357,1.03619122,(2.5833321829913305+0.20055322860151448j),2.583332183,0.200553229
280,1.887918,6.632171387,1.030995312,(2.5830215248196544+0.19957156803527065j),2.583021525,0.199571568
281,1.883373,6.630995361,1.025753939,(2.5827174683057814+0.19858036181189445j),2.582717468,0.198580362
282,1.87885,6.629852058,1.020465675,(2.5824193449140176+0.1975793893915449j),2.582419345,0.197579389
283,1.874348,6.628738054,1.01512915,(2.582126489137787+0.19656843972560897j),2.582126489,0.19656844
284,1.869868,6.627650418,1.009745471,(2.581838366115929+0.19554777021664244j),2.581838366,0.19554777
285,1.86541,6.626585959,1.004314704,(2.5815543754858132+0.1945174414654299j),2.581554375,0.194517441
286,1.860973,6.625541252,0.998835798,(2.5812738556765504+0.19347730107687838j),2.581273856,0.193477301
287,1.856558,6.624513355,0.993310278,(2.580996274507911+0.19242768542210154j),2.580996275,0.192427685
288,1.852163,6.623498635,0.987736035,(2.5807209143708008+0.19136823933010108j),2.580720914,0.191368239
289,1.84779,6.622494401,0.982116124,(2.58044731280266+0.19029958866878008j),2.580447313,0.190299589
290,1.843437,6.621497058,0.976448623,(2.5801747616321205+0.1892214119523047j),2.580174762,0.189221412
291,1.839105,6.620503724,0.970735583,(2.57990274619902+0.18813414271342443j),2.579902746,0.188134143
292,1.834794,6.619511317,0.964977908,(2.5796306961642856+0.18703799529247284j),2.579630696,0.187037995
293,1.830503,6.618516555,0.95917527,(2.579357985286631+0.18593294833944718j),2.579357985,0.185932948
294,1.826232,6.617516423,0.95332878,(2.5790840581367696+0.1848192533545085j),2.579084058,0.184819253
295,1.821982,6.616508184,0.947441071,(2.5788084336930046+0.18369745078614308j),2.578808434,0.183697451
296,1.817751,6.615488439,0.941510739,(2.5785304462556184+0.18256731085708824j),2.578530446,0.182567311
297,1.81354,6.614454549,0.935540657,(2.5782496353859328+0.1814294171602945j),2.578249635,0.181429417
298,1.809349,6.613403698,0.929532447,(2.577965488383889+0.1802841137551134j),2.577965488,0.180284114
299,1.805178,6.612333134,0.923487854,(2.577677505772557+0.17913176724740584j),2.577677506,0.179131767
300,1.801026,6.611239909,0.917407277,(2.577385131154308+0.17797248580773567j),2.577385131,0.177972486
301,1.796893,6.610121393,0.911292665,(2.577087889807811+0.1768066716345106j),2.57708789,0.176806672
302,1.792779,6.608975033,0.905146086,(2.5767853224686306+0.17563474884718852j),2.576785322,0.175634749
303,1.788684,6.607798359,0.898969732,(2.5764769863204324+0.17445716309847556j),2.576476986,0.174457163
304,1.784608,6.606588988,0.892765911,(2.576162455974058+0.1732743811479152j),2.576162456,0.173274381
305,1.780551,6.605344631,0.886537047,(2.57584132443282+0.172086890398374j),2.575841324,0.17208689
306,1.776513,6.604063095,0.88028568,(2.5755132040425277+0.1708951983970975j),2.575513204,0.170895198
307,1.772493,6.60274196,0.874012891,(2.575177642807665+0.16969953375624913j),2.575177643,0.169699534
308,1.768492,6.601379557,0.867722979,(2.5748343744093183+0.1685007369581688j),2.574834374,0.168500737
309,1.764508,6.599973302,0.861415631,(2.5744828955054277+0.16729876764485602j),2.574482896,0.167298768
310,1.760543,6.598522112,0.855096948,(2.5741230733225366+0.16609480656874387j),2.574123073,0.166094807
311,1.756596,6.597023975,0.848768387,(2.5737545350228865+0.1648891483250088j),2.573754535,0.164889148
312,1.752667,6.595477352,0.842433082,(2.573377018944098+0.1636824056121233j),2.573377019,0.163682406
313,1.748755,6.593880416,0.83609264,(2.5729901881729753+0.162474898536095j),2.572990188,0.162474899
314,1.744861,6.592232279,0.829751991,(2.5725939265072943+0.1612675795092638j),2.572593927,0.16126758
315,1.740985,6.590531805,0.823414549,(2.5721880498289353+0.16006111011973978j),2.57218805,0.16006111
316,1.737126,6.588777542,0.817082167,(2.571772292389608+0.15885585397769383j),2.571772292,0.158855854
317,1.733284,6.586968599,0.810758409,(2.5713465168459124+0.15765249921301117j),2.571346517,0.157652499
318,1.72946,6.585104736,0.804448573,(2.570910730389748+0.15645206266381506j),2.57091073,0.156452063
319,1.725653,6.583184909,0.798154738,(2.570464745415153+0.15525494744135765j),2.570464745,0.155254947
320,1.721862,6.58120817,0.791879044,(2.5700083923282304+0.15406156770027488j),2.570008392,0.154061568
321,1.718089,6.579175311,0.785628671,(2.5695418959246803+0.15287329472075953j),2.569541896,0.152873295
322,1.714332,6.577085173,0.779404244,(2.5690650254991665+0.15169025238661624j),2.569065025,0.151690252
323,1.710592,6.574938381,0.773211422,(2.5685779531393687+0.15051352066592283j),2.568577953,0.150513521
324,1.706868,6.572734614,0.767052613,(2.5680806282065607+0.14934356121632764j),2.568080628,0.149343561
325,1.703161,6.570474898,0.760933596,(2.567573299319476+0.14818147476563842j),2.567573299,0.148181475
326,1.699469,6.568158617,0.754855257,(2.5670558394323986+0.1470274322275282j),2.567055839,0.147027432
327,1.695795,6.565788479,0.748826767,(2.566528858293969+0.14588317689598207j),2.566528858,0.145883177
328,1.692136,6.563363579,0.742847486,(2.565992153752866+0.14474858884318562j),2.565992154,0.144748589
329,1.688493,6.560885767,0.736923399,(2.565446131054675+0.1436248047618799j),2.565446131,0.143624805
330,1.684866,6.558356473,0.73105889,(2.564891095185451+0.1425126570294171j),2.564891095,0.142512657
331,1.681255,6.555777352,0.725258383,(2.5643273941103852+0.1414129850595901j),2.564327394,0.141412985
332,1.67766,6.553150291,0.71952634,(2.5637554203060335+0.14032663458039785j),2.56375542,0.140326635
333,1.67408,6.550476662,0.713865682,(2.5631754489812213+0.13925415870129543j),2.563175449,0.139254159
334,1.670516,6.547759564,0.708282535,(2.562588124633877+0.13819671768141703j),2.562588125,0.138196718
335,1.666966,6.545000064,0.702778369,(2.5619936465185917+0.13715458854732668j),2.561993647,0.137154589
336,1.663433,6.542203377,0.697362435,(2.5613931021981955+0.13612952152359112j),2.561393102,0.136129522
337,1.659914,6.539370298,0.692034758,(2.56078662189925+0.13512151925219854j),2.560786622,0.135121519
338,1.656411,6.536505878,0.686803031,(2.5601752441147325+0.1341320351047667j),2.560175244,0.134132035
339,1.652922,6.533612236,0.681668951,(2.559559374320442+0.1331613866592767j),2.559559374,0.133161387
340,1.649449,6.53069511,0.676640147,(2.558940183331294+0.13221101284335654j),2.558940183,0.132211013
341,1.64599,6.527757244,0.671718413,(2.5583181994686104+0.13128124828279839j),2.558318199,0.131281248
342,1.642546,6.524804256,0.666909896,(2.557694555693466+0.13037324852653656j),2.557694556,0.130373249
343,1.639116,6.521840446,0.662217911,(2.5570700994024627+0.12948763339208125j),2.557070099,0.129487633
344,1.635701,6.518872237,0.657648519,(2.556446120426822+0.12862553878627223j),2.55644612,0.128625539
345,1.6323,6.515904753,0.653205044,(2.5558236282586435+0.1277875822653594j),2.555823628,0.127787582
346,1.628914,6.51294531,0.64889341,(2.5552040872302877+0.12697486935606342j),2.555204087,0.126974869
347,1.625542,6.509999966,0.644716904,(2.5545886908048097+0.12618800557369328j),2.554588691,0.126188006
348,1.622184,6.507076171,0.640680064,(2.553978917527636+0.12542782933561702j),2.553978918,0.125427829
349,1.618841,6.504182789,0.636788482,(2.5533765340767585+0.12469537359998416j),2.553376534,0.124695374
350,1.615511,6.501326682,0.633044163,(2.5527828829633687+0.12399099175146822j),2.552782883,0.123990992
351,1.612195,6.498517944,0.629452483,(2.5521999722039785+0.12331566688858896j),2.552199972,0.123315667
352,1.608893,6.495766478,0.626017464,(2.551629760883236+0.12267012111046405j),2.551629761,0.122670121
353,1.605604,6.493082097,0.622741942,(2.5510741822214205+0.1220548477694325j),2.551074182,0.122054848
354,1.60233,6.49047783,0.61963147,(2.5505358251275587+0.12147084231769814j),2.550535825,0.121470842
355,1.599069,6.487964308,0.616687408,(2.550016773422432+0.12091830414899535j),2.550016773,0.120918304
356,1.595821,6.485554723,0.613912798,(2.5495196288916357+0.12039773905780717j),2.549519629,0.120397739
357,1.592587,6.483263919,0.611311043,(2.549047323506241+0.11990970843477015j),2.549047324,0.119909708
358,1.589366,6.481106319,0.60888338,(2.548602688131201+0.11945435496746741j),2.548602688,0.119454355
359,1.586158,6.479098202,0.606631334,(2.5481889227456826+0.11903185999881537j),2.548188923,0.11903186
360,1.582963,6.477257025,0.604555725,(2.5478094532821185+0.11864225644413766j),2.547809453,0.118642256
361,1.579782,6.475601983,0.602657116,(2.547468046003363+0.11828551041587083j),2.547468046,0.11828551
362,1.576613,6.47415206,0.600933334,(2.547168402437024+0.11796105295163814j),2.547168402,0.117961053
363,1.573457,6.472929233,0.599382879,(2.5469148178853556+0.11766841888507087j),2.546914818,0.117668419
364,1.570315,6.471956665,0.598002711,(2.5467118070450514+0.11740682808585444j),2.546711807,0.117406828
365,1.567184,6.471257984,0.596786572,(2.546563946419191+0.11717486484775606j),2.546563946,0.117174865
366,1.564067,6.470860016,0.595728877,(2.5464764441641123+0.11697121306761674j),2.546476444,0.116971213
367,1.560962,6.470790181,0.594820007,(2.54645458697131+0.11679375898645195j),2.546454587,0.116793759
368,1.55787,6.471078002,0.594048938,(2.5465040571429745+0.11664009257391252j),2.546504057,0.116640093
