Energy (eV),Wavelength (nm),n,k,e1,e2
1.356877,913.863098,1.45159,0,2.107113,0
1.354555,915.429993,1.451569,0,2.107052,0
1.35224,916.996765,1.451548,0,2.106992,0
1.349934,918.563354,1.451527,0,2.106931,0
1.347636,920.129883,1.451506,0,2.10687,0
1.345345,921.696289,1.451485,0,2.106809,0
1.343063,923.26239,1.451464,0,2.106748,0
1.340789,924.828491,1.451443,0,2.106688,0
1.338523,926.394409,1.451422,0,2.106627,0
1.336264,927.960144,1.451401,0,2.106565,0
1.334014,929.525757,1.45138,0,2.106504,0
1.331771,931.091187,1.45136,0,2.106445,0
1.329535,932.656555,1.451338,0,2.106383,0
1.327308,934.22168,1.451318,0,2.106323,0
1.325088,935.786621,1.451297,0,2.106262,0
1.322876,937.35144,1.451276,0,2.106201,0
1.320672,938.916199,1.451254,0,2.106139,0
1.318475,940.480774,1.451234,0,2.10608,0
1.316285,942.045105,1.451213,0,2.10602,0
1.314103,943.609375,1.451192,0,2.105959,0
1.311928,945.173523,1.451172,0,2.105899,0
1.309761,946.737427,1.45115,0,2.105837,0
1.307601,948.301147,1.451129,0,2.105776,0
1.305449,949.864868,1.451108,0,2.105716,0
1.303304,951.428345,1.451087,0,2.105654,0
1.301166,952.991577,1.451066,0,2.105593,0
1.299035,954.55481,1.451045,0,2.105532,0
1.296911,956.117798,1.451025,0,2.105472,0
1.294795,957.680664,1.451004,0,2.105412,0
1.292686,959.243347,1.450983,0,2.10535,0
1.290583,960.805969,1.450962,0,2.105291,0
1.288488,962.368286,1.450941,0,2.105231,0
1.2864,963.930542,1.45092,0,2.10517,0
1.284319,965.492554,1.450899,0,2.105109,0
1.282244,967.054504,1.450879,0,2.105049,0
1.280177,968.616211,1.450858,0,2.104987,0
1.278116,970.177856,1.450836,0,2.104926,0
1.276062,971.739258,1.450816,0,2.104866,0
1.274016,973.300476,1.450795,0,2.104805,0
1.271975,974.861633,1.450774,0,2.104744,0
1.269942,976.422546,1.450753,0,2.104683,0
1.267915,977.983398,1.450732,0,2.104623,0
1.265895,979.544067,1.450711,0,2.104563,0
1.263882,981.104492,1.45069,0,2.104502,0
1.261875,982.664734,1.45067,0,2.104443,0
1.259875,984.224915,1.450649,0,2.104382,0
1.257881,985.784851,1.450628,0,2.104321,0
1.255894,987.344727,1.450607,0,2.10426,0
1.253913,988.904297,1.450586,0,2.104199,0
1.251939,990.463745,1.450565,0,2.104139,0
1.249971,992.023132,1.450544,0,2.104079,0
1.248009,993.582336,1.450523,0,2.104018,0
1.246054,995.141296,1.450502,0,2.103956,0
1.244105,996.700073,1.450482,0,2.103897,0
1.242163,998.258667,1.450461,0,2.103836,0
1.240227,999.8172,1.45044,0,2.103775,0
1.223788,1013.247437,1.450261,0,2.103257,0
1.219735,1016.613953,1.450219,0,2.103136,0
1.215708,1019.981628,1.450179,0,2.103018,0
1.211706,1023.350586,1.450138,0,2.1029,0
1.207729,1026.720581,1.450098,0,2.102784,0
1.203776,1030.091797,1.450058,0,2.102668,0
1.199848,1033.464111,1.450017,0,2.102551,0
1.195944,1036.837646,1.449977,0,2.102433,0
1.192064,1040.21228,1.449937,0,2.102317,0
1.188208,1043.588135,1.449897,0,2.102201,0
1.184376,1046.964966,1.449856,0,2.102082,0
1.180567,1050.342896,1.449815,0,2.101965,0
1.176781,1053.721924,1.449775,0,2.101848,0
1.173018,1057.102051,1.449735,0,2.101732,0
1.169278,1060.483154,1.449694,0,2.101613,0
1.165561,1063.865479,1.449655,0,2.101498,0
1.161866,1067.248779,1.449614,0,2.101381,0
1.158193,1070.633057,1.449573,0,2.101261,0
1.154542,1074.018555,1.449533,0,2.101145,0
1.150914,1077.405029,1.449492,0,2.101027,0
1.147306,1080.792358,1.449451,0,2.100909,0
1.143721,1084.180908,1.449411,0,2.100792,0
1.140156,1087.570313,1.449371,0,2.100676,0
1.136613,1090.960693,1.44933,0,2.100557,0
1.13309,1094.352173,1.44929,0,2.100441,0
1.129589,1097.744507,1.449249,0,2.100323,0
1.126108,1101.137939,1.449208,0,2.100204,0
1.122647,1104.532104,1.449168,0,2.100087,0
1.119207,1107.927368,1.449128,0,2.099971,0
1.115787,1111.323486,1.449087,0,2.099853,0
1.112386,1114.720581,1.449046,0,2.099735,0
1.109006,1118.118652,1.449006,0,2.099618,0
1.105645,1121.517578,1.448965,0,2.099498,0
1.102303,1124.917358,1.448925,0,2.099382,0
1.098981,1128.318115,1.448884,0,2.099265,0
1.095678,1131.719604,1.448845,0,2.09915,0
1.092394,1135.12207,1.448806,0,2.099038,0
1.089128,1138.525391,1.448766,0,2.098924,0
1.085881,1141.929443,1.448728,0,2.098812,0
1.082653,1145.334473,1.448689,0,2.098699,0
1.079443,1148.740356,1.44865,0,2.098586,0
1.076252,1152.146973,1.448611,0,2.098473,0
1.073078,1155.554443,1.448572,0,2.098361,0
1.069922,1158.962646,1.448533,0,2.098247,0
1.066784,1162.371826,1.448494,0,2.098136,0
1.063664,1165.781616,1.448455,0,2.098023,0
1.060561,1169.192139,1.448416,0,2.09791,0
1.057476,1172.603638,1.448377,0,2.097797,0
1.054408,1176.015747,1.448339,0,2.097685,0
1.051357,1179.428589,1.448299,0,2.097571,0
1.048322,1182.842163,1.44826,0,2.097457,0
1.045305,1186.256592,1.448222,0,2.097347,0
1.042304,1189.671631,1.448183,0,2.097233,0
1.03932,1193.087402,1.448143,0,2.097118,0
1.036353,1196.503906,1.448104,0,2.097006,0
1.033401,1199.921143,1.448066,0,2.096895,0
1.030466,1203.338989,1.448026,0,2.09678,0
1.027547,1206.757568,1.447987,0,2.096667,0
1.024644,1210.176636,1.447948,0,2.096553,0
1.021756,1213.596558,1.447909,0,2.096441,0
1.018885,1217.016968,1.44787,0,2.096328,0
1.016029,1220.438232,1.447831,0,2.096214,0
1.013188,1223.859985,1.447792,0,2.096102,0
1.010363,1227.282349,1.447753,0,2.095988,0
1.007552,1230.705322,1.447714,0,2.095875,0
1.004757,1234.128906,1.447675,0,2.095762,0
1.001977,1237.552979,1.447636,0,2.095649,0
0.999212,1240.977783,1.447596,0,2.095535,0
0.996462,1244.403076,1.447557,0,2.095422,0
0.993726,1247.828979,1.447518,0,2.095308,0
0.991005,1251.255493,1.447479,0,2.095195,0
0.988298,1254.682373,1.44744,0,2.095082,0
0.985605,1258.109985,1.4474,0,2.094968,0
0.982927,1261.537964,1.447361,0,2.094855,0
0.980263,1264.966553,1.447322,0,2.094741,0
0.977613,1268.39563,1.447283,0,2.094628,0
0.974977,1271.825195,1.447244,0,2.094514,0
0.972354,1275.255249,1.447204,0,2.094401,0
0.969746,1278.685791,1.447165,0,2.094287,0
0.967151,1282.116821,1.447126,0,2.094174,0
0.964569,1285.548218,1.447087,0,2.094061,0
0.962001,1288.980225,1.447048,0,2.093947,0
0.959446,1292.412476,1.447008,0,2.093833,0
0.956904,1295.845337,1.446969,0,2.09372,0
0.954376,1299.278564,1.44693,0,2.093606,0
0.95186,1302.712158,1.446891,0,2.093493,0
0.949358,1306.14624,1.446851,0,2.093379,0
0.946868,1309.580566,1.446812,0,2.093266,0
0.944391,1313.015381,1.446773,0,2.093152,0
0.941927,1316.450562,1.446734,0,2.093038,0
0.939475,1319.886108,1.446694,0,2.092925,0
0.937036,1323.322021,1.446655,0,2.092811,0
0.934609,1326.758301,1.446616,0,2.092697,0
0.932194,1330.194824,1.446576,0,2.092584,0
0.929792,1333.631836,1.446537,0,2.09247,0
0.927402,1337.069092,1.446498,0,2.092356,0
0.925023,1340.506592,1.446459,0,2.092242,0
